Base Sentence,Sentence Label,Domain,Model Name,API Name,Batch ID,Template Number
"Citigroup observed that the operating income at Microsoft had remained stable from February 14, 2023, to February 14, 2024.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,1
"On September 20, 2022, to September 20, 2023, JPMorgan monitored the research and development expenses at Amazon changed.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,2
"Vanguard noted on November 15, 2021, the net profit at Berkshire Hathaway fell.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,3
"According to Fidelity, the gross profit at Johnson & Johnson rose in the fourth quarter of 2022.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In the second quarter of 2024, BlackRock envisioned that the operating cash flow at Procter & Gamble decreased.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"The revenue at Visa increased on October 10, 2023, according to Mastercard.",0,finance,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
Morgan Stanley observed that the revenue at Tesla had remained stable in Q2 2024.,0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On 2024-08-15, Goldman Sachs monitored the operating cash flow at the University of California, Berkeley and saw it decreased.",0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Charles Schwab noted on 2024/09/01, the valuation of the market value at Amazon fell.",0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to Fidelity, the returns at emerging market equities rose in Q1 2025.",0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,4
"In Q3 2026, Wells Fargo envisioned that the inflation rate at the Federal Reserve decreased.",0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,5
"Apple stock price increased in 2025-03-20, according to Bank of America.",0,finance,llama-3.1-8b-instant,GROQ_CLOUD,0,6
The American Heart Association observed that the blood pressure levels at local community centers had remained stable from February 2022 to August 2022.,0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,1
"On November 15, 2023, a health researcher monitored that the average body mass index at rural high schools changed.",0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,2
"Dr. Thompson noted on October 10, 2025, the obesity rates at urban elementary schools fell.",0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,3
"According to a study conducted by the National Institutes of Health, the daily caloric intake at national restaurants rose in Summer 2026.",0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In Q2 2028, a research team envisioned that the smoking cessation rates at state prisons decreased.",0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"The life expectancy at birth in Eastern Europe increased in 2024, according to the World Health Organization's report.",0,health,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
The American Heart Association observed that the blood pressure at all clinics in New York remained stable in Q2 2023.,0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On 2/10/2029, the World Health Organization monitored the obesity rates at urban schools changed.",0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Dr. Patel noted on 11/25/2038, the number of patients with diabetes at the local hospital fell.",0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to Dr. Lee, the average BMI at community centers in Los Angeles rose in Spring 2026.",0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,4
"In Q3 2025, Professor Chen envisioned that the physical activity levels among college students decreased.",0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,5
"The Centers for Disease Control and Prevention reported that vaccination rates among children increased on 9/1/2025, according to the CDC.",0,health,llama-3.1-8b-instant,GROQ_CLOUD,0,6
The Urban Institute observed that the voter turnout at local elections had remained stable in September 2025.,0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,1
"On February 10, 2028, policy researcher David Kim monitored the budget allocation at federal agencies changed.",0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,2
"Senator Emily Patel noted on June 15, 2029, the poverty rate at rural areas fell.",0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,3
"According to policy advisor Christine Taylor, the number of small business loans at community banks rose in late 2026.",0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,4
"In Q2 of 2027, economist Dr. Brian Hall envisioned that the carbon emission levels at industrial plants decreased.",0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,5
"Healthcare spending increased in January 2024, according to research analyst Rachel Lee.",0,policy,llama-3.3-70b-versatile,GROQ_CLOUD,0,6
"Local journalist, Emily, identified economic reforms in Chicago, IL rose on 2024/08/21.",0,policy,llama-3.1-8b-instant,GROQ_CLOUD,0,1
"On 21 Aug 2024, the Brookings Institution noted that lobbying intensity at swing districts stayed stable.",0,policy,llama-3.1-8b-instant,GROQ_CLOUD,0,2
"Representative David Lee observed that on 08/21/2024, the infrastructure funding distribution remained stable.",0,policy,llama-3.1-8b-instant,GROQ_CLOUD,0,3
"According to state representative Olivia Brown, civic participation at state-level agencies increased in Q3 of 2027.",0,policy,llama-3.1-8b-instant,GROQ_CLOUD,0,4
